"p16a","p16b","p18a","ly18b","ly13a","ly13b","ly16a","ly16b","ly18a","p18b","ly20","ly7"
"ENSMUSG00000001082.12",308,388,282,99,120,230,155,170,219,321,182,224
"ENSMUSG00000001089.14",1743,1872,1290,509,766,681,1008,967,764,1126,935,1215
"ENSMUSG00000001095.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001098.15",247,698,481,269,277,525,244,691,617,475,368,818
"ENSMUSG00000001100.10",1645,1779,1220,997,1257,1056,1755,1491,1686,1132,2111,2356
"ENSMUSG00000001103.7",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001105.15",4824,7528,6860,5036,6351,4317,5040,5383,5768,5572,5067,6200
"ENSMUSG00000001119.7",1003,1259,1000,121,555,605,208,195,120,712,154,311
"ENSMUSG00000001120.15",1144,1611,1256,3553,2774,3889,5029,5887,6229,1098,7811,9033
"ENSMUSG00000001123.15",221,486,605,92,298,250,109,142,131,356,91,211
"ENSMUSG00000001127.12",1396,2945,2816,2373,2977,2560,2283,3467,3446,1791,3076,4475
"ENSMUSG00000001128.7",78,60,57,11,19,17,40,32,20,27,13,16
"ENSMUSG00000001131.11",541,885,882,65,181,151,115,170,127,532,74,164
"ENSMUSG00000001134.9",552,680,744,878,1429,773,1061,1007,1216,512,1076,1203
"ENSMUSG00000001138.13",246,241,223,106,96,105,169,166,157,157,175,166
"ENSMUSG00000001143.13",563,909,689,471,500,897,818,877,977,556,782,910
"ENSMUSG00000001150.6",545,599,560,253,516,589,530,495,409,318,512,741
"ENSMUSG00000001151.9",461,451,378,106,329,333,330,221,216,221,236,264
"ENSMUSG00000001155.13",4,6,1,5,7,12,8,7,5,3,5,9
"ENSMUSG00000001156.9",297,391,291,297,249,280,419,500,417,197,554,602
"ENSMUSG00000001157.13",1003,902,755,832,840,822,1919,1408,1018,631,1358,1341
"ENSMUSG00000001158.13",3772,5689,5097,4966,6761,3843,5273,5595,5678,4289,5271,5781
"ENSMUSG00000001166.17",55,79,61,32,40,34,91,39,47,52,67,55
"ENSMUSG00000001168.16",0,0,1,0,0,0,0,3,1,0,0,0
"ENSMUSG00000001173.15",560,546,459,319,453,464,686,503,443,345,807,685
"ENSMUSG00000001175.13",36719,51411,48652,48503,62118,45251,49227,63346,67605,46249,75243,70420
"ENSMUSG00000001211.14",662,484,408,356,406,309,831,430,497,375,721,469
"ENSMUSG00000001225.12",0,1,2,0,0,0,0,0,0,1,0,0
"ENSMUSG00000001227.11",26,24,18,22,37,26,114,35,44,9,89,62
"ENSMUSG00000001228.14",2498,4097,3751,1028,1426,1723,1658,1244,1724,2275,1566,1661
"ENSMUSG00000001229.7",1023,1320,1185,650,777,780,901,963,1024,871,1102,1422
"ENSMUSG00000001240.13",562,661,475,30,70,64,103,94,56,450,48,130
"ENSMUSG00000001247.16",53,112,106,63,49,72,49,83,159,70,110,123
"ENSMUSG00000001248.14",556,447,289,284,312,264,528,368,428,369,478,668
"ENSMUSG00000001249.14",105,171,155,203,214,252,292,353,476,134,268,501
"ENSMUSG00000001260.10",0,1,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001270.8",4763,5682,5474,9853,10122,9435,13659,13326,18282,3602,16751,17363
"ENSMUSG00000001280.12",2242,2105,1725,490,578,668,1069,681,765,1371,881,821
"ENSMUSG00000001281.9",32,18,24,0,5,0,2,0,0,13,2,0
"ENSMUSG00000001285.12",2000,2996,3468,1793,2430,1680,1882,1996,2774,2105,2621,2660
"ENSMUSG00000001288.14",1610,882,631,118,234,280,376,237,171,722,308,337
"ENSMUSG00000001289.12",11215,19130,18310,12505,18238,9376,12861,13049,15482,13915,12437,17440
"ENSMUSG00000001300.16",1756,1377,1309,1249,1232,1447,2908,2234,1517,1150,1789,1596
"ENSMUSG00000001305.5",864,1504,1273,1058,1431,961,925,1544,1926,1189,1187,1468
"ENSMUSG00000001313.12",911,733,678,949,1198,756,1720,1052,1406,734,1555,1483
"ENSMUSG00000001323.17",418,755,690,321,304,393,446,412,436,487,452,718
"ENSMUSG00000001333.9",9,19,9,10,5,15,12,7,10,3,25,21
"ENSMUSG00000001334.9",102,167,88,49,72,73,104,63,53,88,51,93
"ENSMUSG00000001348.14",5,39,13,0,4,10,0,1,0,19,0,0
"ENSMUSG00000001349.4",17,21,18,5,3,8,0,10,1,19,3,3
"ENSMUSG00000001366.14",802,598,487,513,545,438,962,633,548,439,828,782
"ENSMUSG00000001376.17",370,546,387,242,345,560,413,471,362,281,488,438
"ENSMUSG00000001380.6",2340,4513,4428,2400,3206,2945,2989,3046,3608,2774,3093,4106
"ENSMUSG00000001383.8",4065,5245,5524,5285,6641,4342,6162,5861,7121,4012,6761,6857
"ENSMUSG00000001403.13",2103,3770,3601,2421,4489,2677,2648,3700,5859,3320,2530,3557
"ENSMUSG00000001415.10",935,749,514,506,740,557,1081,825,927,491,1225,1036
"ENSMUSG00000001416.13",5668,12336,11364,6418,8768,8420,6360,8377,10594,6849,7827,9567
"ENSMUSG00000001418.13",1240,2619,2790,734,1125,991,789,950,1173,1586,1126,1474
"ENSMUSG00000001419.17",408,453,467,189,285,360,392,323,340,423,439,500
"ENSMUSG00000001420.13",66,78,73,71,79,64,72,116,120,58,86,120
"ENSMUSG00000001424.14",2962,4333,3498,790,1699,2474,1324,1288,1551,2247,1758,1541
"ENSMUSG00000001435.14",854,899,765,500,639,752,838,563,808,592,726,972
"ENSMUSG00000001436.15",236,691,492,148,171,290,133,194,244,362,174,230
"ENSMUSG00000001440.5",6660,6675,5899,2486,3070,3328,4818,3338,3867,4146,4760,4542
"ENSMUSG00000001441.13",2861,2802,2452,1724,2598,2145,3631,2447,2636,1748,3137,3063
"ENSMUSG00000001444.2",0,0,2,0,4,0,0,0,0,0,0,0
"ENSMUSG00000001445.10",989,2251,1978,1239,1580,1382,1126,1992,2114,1399,1500,2599
"ENSMUSG00000001467.5",544,914,638,276,344,554,459,599,500,515,358,476
"ENSMUSG00000001472.17",5609,5917,5091,5280,6543,5945,9199,7348,7899,3766,10302,12255
"ENSMUSG00000001473.6",1749,4890,5521,164,416,441,190,304,300,2621,223,376
"ENSMUSG00000001482.15",1141,2126,1621,819,847,1056,1152,1121,1113,1223,1484,1657
"ENSMUSG00000001493.9",74,77,96,15,3,13,17,0,23,78,6,2
"ENSMUSG00000001494.6",1,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001496.15",0,0,0,0,0,0,0,0,0,0,0,0
