"p16a","p16b","p18a","ly18b","ly13a","ly13b","ly16a","ly16b","ly18a","p18b","ly20","ly7"
"ENSMUSG00000001829.17",298,344,277,134,202,229,266,329,203,215,250,310
"ENSMUSG00000001833.16",7063,12512,11451,5529,7473,7617,6591,7983,7429,7176,5299,7472
"ENSMUSG00000001844.10",1224,2177,1964,810,1055,1076,930,1209,1355,1494,1000,1662
"ENSMUSG00000001847.14",3140,3876,3820,1916,2244,2197,2683,2325,2171,2598,2574,3405
"ENSMUSG00000001855.15",876,1410,1434,517,949,853,617,595,702,792,700,872
"ENSMUSG00000001864.13",5185,10099,8719,4576,4801,5423,5344,6147,8929,5671,6847,9177
"ENSMUSG00000001865.2",43,39,62,0,9,7,2,33,6,23,0,0
"ENSMUSG00000001870.15",528,631,471,125,270,396,209,219,199,326,186,267
"ENSMUSG00000001891.16",1913,2688,2193,1288,1306,1901,1893,2102,1963,1699,1599,2235
"ENSMUSG00000001901.15",17,37,25,47,56,80,129,125,141,13,199,168
"ENSMUSG00000001909.15",486,608,507,374,455,529,751,749,827,488,679,1032
"ENSMUSG00000001910.4",1719,865,775,648,703,767,1825,984,1241,844,2156,1812
"ENSMUSG00000001911.16",2406,1735,1775,411,698,588,942,578,527,1473,771,777
"ENSMUSG00000001918.17",177,178,152,38,91,82,55,62,82,112,81,128
"ENSMUSG00000001924.15",4970,7636,7064,3550,5447,6024,5372,4975,5221,4059,5806,6873
"ENSMUSG00000001930.17",85,146,122,7,36,47,32,1,7,72,5,39
"ENSMUSG00000001942.7",135,276,208,61,72,115,61,122,90,122,69,79
"ENSMUSG00000001943.7",13,11,20,2,2,2,7,12,0,17,1,2
"ENSMUSG00000001946.13",219,377,389,23,52,48,27,67,27,217,18,27
"ENSMUSG00000001948.9",243,267,285,352,342,236,350,314,460,264,390,310
"ENSMUSG00000001962.8",1570,2402,1136,533,917,885,1097,1572,2080,1517,1946,1802
"ENSMUSG00000001964.14",4454,6043,6795,6881,7905,6626,7747,8342,8473,5666,6231,8776
"ENSMUSG00000001983.7",142,284,229,177,157,226,176,294,246,185,188,294
"ENSMUSG00000001985.9",23,10,23,4,8,13,23,5,10,7,3,2
"ENSMUSG00000001986.16",243,337,222,47,119,173,123,116,61,167,79,127
"ENSMUSG00000001988.9",0,2,0,1,1,0,1,12,4,0,6,0
"ENSMUSG00000001995.9",480,433,337,337,396,338,955,555,424,305,706,598
"ENSMUSG00000001998.15",198,226,176,69,92,153,122,171,146,161,195,174
"ENSMUSG00000001999.15",1059,1498,1523,596,1081,815,654,772,910,1025,755,783
"ENSMUSG00000002006.12",249,197,203,358,488,336,719,438,434,139,605,631
"ENSMUSG00000002007.5",8,12,5,4,1,1,0,3,0,2,2,0
"ENSMUSG00000002010.17",2270,3642,3918,2429,3610,2837,2671,2766,3652,2381,3264,4334
"ENSMUSG00000002012.13",429,823,817,970,1248,1038,832,1240,1661,540,1396,1971
"ENSMUSG00000002014.12",2700,4627,4379,1616,2624,1644,1714,1785,1961,3027,1568,2362
"ENSMUSG00000002015.5",1534,2781,2514,730,1312,1176,929,1177,1186,1663,834,1132
"ENSMUSG00000002017.9",1048,1207,895,617,933,804,1188,763,755,631,853,1054
"ENSMUSG00000002020.15",64,68,72,15,22,31,27,5,10,48,23,20
"ENSMUSG00000002028.12",1794,1345,1344,405,636,701,1104,733,487,816,771,860
"ENSMUSG00000002031.11",2210,4735,3943,3204,2810,3141,2529,4100,4614,3083,3388,4944
"ENSMUSG00000002032.16",51,109,96,65,69,106,77,121,142,89,130,251
"ENSMUSG00000002033.13",1,4,5,0,0,9,3,4,1,1,0,0
"ENSMUSG00000002043.17",570,718,611,1194,1050,861,1092,991,1440,567,1385,1617
"ENSMUSG00000002052.6",2297,2423,2248,863,1428,1316,1393,1012,1051,1407,1235,1475
"ENSMUSG00000002055.9",457,709,601,118,168,178,216,257,214,310,198,192
"ENSMUSG00000002057.4",7,15,14,1,13,7,2,28,10,9,15,13
"ENSMUSG00000002058.13",853,687,659,914,818,630,1387,844,1193,619,1393,1282
"ENSMUSG00000002059.18",1067,1226,1116,409,496,481,560,514,638,893,545,782
"ENSMUSG00000002064.10",1636,3892,3474,1295,2048,1334,995,1510,1835,2290,1319,2119
"ENSMUSG00000002068.16",520,532,508,133,216,171,205,109,185,305,216,288
"ENSMUSG00000002076.11",4,9,12,15,18,19,41,28,18,6,4,30
"ENSMUSG00000002083.13",39,31,22,78,89,57,155,86,96,26,114,145
"ENSMUSG00000002100.15",0,1,0,0,0,0,0,0,0,2,0,0
"ENSMUSG00000002102.15",6843,11733,11439,6641,9062,6483,7226,7941,9681,7234,8595,9746
"ENSMUSG00000002103.15",560,1041,730,262,365,522,524,374,561,579,435,664
"ENSMUSG00000002104.11",21,47,36,40,66,50,43,32,61,22,43,75
"ENSMUSG00000002105.15",706,933,649,180,209,271,403,325,302,594,384,531
"ENSMUSG00000002107.18",2512,2684,2684,4362,4725,5275,9061,6171,7218,2113,7590,8128
"ENSMUSG00000002108.10",35,87,88,11,28,20,12,22,30,51,20,21
"ENSMUSG00000002109.14",63,127,89,31,46,48,41,43,107,66,35,63
"ENSMUSG00000002111.8",9,4,5,1,2,0,0,4,4,7,1,8
"ENSMUSG00000002129.11",2230,3665,3279,1146,1433,1678,1647,1737,2011,2129,1783,2265
"ENSMUSG00000002147.18",376,650,525,44,113,170,83,81,75,338,90,144
"ENSMUSG00000002190.13",11,28,14,66,115,128,119,126,103,10,98,120
"ENSMUSG00000002204.9",15,28,17,19,19,8,8,7,3,15,14,11
"ENSMUSG00000002205.16",1058,2009,1851,1303,1424,1254,1386,1942,2313,1167,1790,2729
"ENSMUSG00000002210.11",291,253,206,159,255,193,381,296,305,167,286,432
"ENSMUSG00000002221.11",570,638,535,379,436,438,632,484,538,479,629,741
"ENSMUSG00000002222.14",1710,1409,1145,1029,887,1234,2131,1423,1373,943,2019,1573
"ENSMUSG00000002227.15",986,1655,1341,228,431,703,354,373,452,887,429,691
"ENSMUSG00000002228.7",30,21,7,10,14,1,14,7,8,13,24,27
"ENSMUSG00000002233.13",4513,6440,5868,990,1379,1100,1325,1145,1550,4591,1422,1628
"ENSMUSG00000002240.12",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002249.17",244,192,142,117,151,95,240,160,224,160,231,252
"ENSMUSG00000002250.15",529,271,341,179,166,146,431,184,267,225,404,390
"ENSMUSG00000002257.7",92,59,48,37,61,37,113,20,76,48,74,49
"ENSMUSG00000002265.16",16646,21153,16723,1645,6307,10267,4281,3929,2324,10755,2920,3618
"ENSMUSG00000002266.16",1691,1434,1240,132,300,477,370,220,120,999,184,274
"ENSMUSG00000002274.12",81,51,45,24,26,12,59,23,32,38,31,31
"ENSMUSG00000002279.18",427,775,906,240,365,311,264,350,502,510,365,393
"ENSMUSG00000002280.10",362,705,507,459,534,464,450,590,788,456,634,1045
"ENSMUSG00000002289.15",372,686,410,51,59,73,57,94,99,307,66,111
"ENSMUSG00000002297.15",605,565,437,323,421,341,814,434,503,370,563,468
"ENSMUSG00000002307.15",857,1459,1125,671,788,830,830,918,1057,1022,1100,1152
"ENSMUSG00000002308.15",225,473,340,314,484,399,379,475,553,293,398,547
"ENSMUSG00000002319.15",1435,2811,2242,643,1203,1689,937,798,1150,1563,1143,1222
"ENSMUSG00000002320.15",285,609,473,105,98,261,132,252,247,342,172,277
"ENSMUSG00000002324.7",114,126,110,172,37,24,268,197,197,63,91,334
"ENSMUSG00000002325.14",248,446,306,132,221,193,166,253,247,296,204,278
"ENSMUSG00000002326.5",836,1462,1228,551,910,723,617,795,830,762,785,1047
"ENSMUSG00000002329.6",1729,2735,2546,2581,2787,2566,2842,3079,3418,1753,3215,4289
"ENSMUSG00000002332.15",1436,2945,2702,1905,2251,1810,1390,1978,2620,1680,2055,2838
"ENSMUSG00000002341.8",452,941,724,436,470,1475,755,1502,1060,605,1035,1427
"ENSMUSG00000002342.17",515,716,560,150,235,292,313,234,290,490,276,343
"ENSMUSG00000002343.11",602,1259,960,588,804,763,715,834,928,730,809,1213
"ENSMUSG00000002345.17",1629,2501,2582,2157,3206,1666,2665,2222,3081,1812,2739,3571
"ENSMUSG00000002346.16",112,175,116,37,48,58,53,54,39,126,37,87
"ENSMUSG00000002365.9",563,600,625,324,467,472,463,493,399,368,485,501
"ENSMUSG00000002372.8",1227,1551,1263,735,910,817,1133,1112,1306,1067,1273,1700
"ENSMUSG00000002379.6",5187,7009,7444,9909,11966,6129,8872,8390,11191,5641,13005,12870
"ENSMUSG00000002384.2",22,29,27,6,22,17,3,17,24,23,6,32
"ENSMUSG00000002393.14",339,128,120,169,149,87,551,169,212,113,513,308
"ENSMUSG00000002395.14",3056,6534,6464,3347,4743,2893,2995,3793,4570,4441,3437,5558
"ENSMUSG00000002396.8",86,61,57,26,45,23,99,53,54,48,59,71
"ENSMUSG00000002409.18",38,39,21,59,60,42,116,116,144,38,150,187
"ENSMUSG00000002413.15",1077,1576,912,343,355,923,679,1080,768,923,778,1344
"ENSMUSG00000002416.13",640,738,533,695,535,577,904,827,890,530,782,1094
"ENSMUSG00000002428.12",431,703,638,433,868,725,801,562,595,380,649,673
"ENSMUSG00000002455.14",1438,2418,2251,824,1079,1222,1088,939,1201,1225,1314,1122
"ENSMUSG00000002458.13",1077,2550,2169,1013,1274,1121,849,1460,1661,1700,1091,2035
"ENSMUSG00000002459.17",25,23,22,78,60,51,102,140,113,17,80,123
"ENSMUSG00000002475.15",7,9,8,1,0,4,5,8,10,9,6,6
"ENSMUSG00000002477.4",9338,10744,10194,10919,13504,8381,14421,11778,13856,9121,12096,12390
"ENSMUSG00000002486.15",417,373,321,304,387,412,591,409,435,240,550,602
"ENSMUSG00000002489.15",480,486,289,145,221,245,428,287,188,290,352,286
"ENSMUSG00000002496.9",1163,1111,816,515,644,747,971,693,668,654,1085,1046
"ENSMUSG00000002500.15",1,0,0,0,0,0,0,2,0,0,1,0
"ENSMUSG00000002504.14",570,697,537,134,260,182,235,215,148,468,219,312
"ENSMUSG00000002524.15",5571,8744,6130,5393,5714,6889,6426,8258,10193,5748,8447,10058
"ENSMUSG00000002546.16",932,1053,932,330,468,518,562,408,440,583,649,640
"ENSMUSG00000002550.16",968,1149,561,619,655,493,1189,1095,1380,837,1725,1843
"ENSMUSG00000002565.16",883,1928,1492,85,423,832,178,307,146,1013,134,215
"ENSMUSG00000002578.15",387,447,308,249,264,291,311,306,339,341,389,605
"ENSMUSG00000002580.7",799,1117,1157,2316,2784,1878,2500,2505,3165,1030,2570,3238
"ENSMUSG00000002588.12",0,1,5,0,0,0,0,2,0,2,0,0
"ENSMUSG00000002602.16",801,842,657,117,177,239,230,198,144,576,159,250
"ENSMUSG00000002603.15",7,11,6,6,12,5,21,11,1,9,5,5
"ENSMUSG00000002608.8",751,748,577,577,565,765,870,813,1173,713,1158,1557
"ENSMUSG00000002617.14",248,422,266,226,245,185,334,313,268,206,246,392
"ENSMUSG00000002625.9",450,574,549,445,521,431,479,552,509,401,435,651
"ENSMUSG00000002633.4",15,6,5,54,42,60,116,68,30,8,62,69
"ENSMUSG00000002635.11",502,680,565,684,384,666,837,956,1188,437,948,1185
"ENSMUSG00000002658.9",1441,1736,1626,1261,1664,1268,1920,1551,1848,1194,1921,2009
"ENSMUSG00000002660.7",2878,5079,5207,3734,5399,3459,3471,4099,5580,3338,5271,6639
"ENSMUSG00000002661.14",575,609,487,752,870,663,1061,990,1320,476,1103,1277
"ENSMUSG00000002664.2",7,3,5,9,4,9,13,13,13,6,22,8
"ENSMUSG00000002668.7",188,194,197,295,387,433,604,410,414,113,372,695
"ENSMUSG00000002679.14",1130,1734,1831,1139,1684,1271,1312,1413,1470,1164,1178,1618
"ENSMUSG00000002688.7",269,377,282,251,310,297,218,317,342,208,287,489
"ENSMUSG00000002699.13",87,166,153,22,29,21,2,15,18,148,18,16
"ENSMUSG00000002718.14",1179,2566,1917,660,968,1724,883,1382,1435,1325,837,1302
"ENSMUSG00000002728.14",2159,4321,4041,3521,4615,3646,2989,4591,4683,3169,3269,4863
"ENSMUSG00000002731.6",1299,2738,2159,2030,2661,2358,1989,2830,2771,1574,2082,3297
"ENSMUSG00000002732.14",583,888,831,133,345,248,130,216,218,612,102,183
"ENSMUSG00000002733.8",534,532,507,208,274,260,473,428,277,429,407,394
"ENSMUSG00000002741.9",4353,3607,3257,2022,4505,3759,4153,4207,4195,3477,4077,4953
"ENSMUSG00000002748.7",3221,2878,2639,1145,1804,1682,2641,1468,1418,1552,1954,1968
"ENSMUSG00000002763.16",938,521,503,371,509,416,986,595,484,515,977,803
"ENSMUSG00000002767.13",1804,2684,2284,1825,2077,1631,2006,2508,3320,2282,2988,3814
"ENSMUSG00000002768.7",4274,7016,6431,6264,7888,4623,6167,5782,7851,4573,7948,8584
"ENSMUSG00000002769.8",8,13,20,16,30,14,41,58,56,12,24,62
"ENSMUSG00000002771.12",54,49,39,20,17,25,37,28,18,33,43,20
"ENSMUSG00000002778.14",1848,1558,1702,508,1022,991,1359,833,727,1223,732,1094
"ENSMUSG00000002781.19",50,108,123,68,85,91,49,72,58,67,78,120
"ENSMUSG00000002791.16",12,21,28,5,3,9,5,13,23,18,5,10
"ENSMUSG00000002797.9",331,488,493,313,403,234,258,269,307,420,309,342
"ENSMUSG00000002799.5",13,23,13,24,28,44,92,67,81,24,47,73
"ENSMUSG00000002803.13",454,263,267,214,233,193,582,210,293,234,537,437
"ENSMUSG00000002804.3",908,1345,1308,1526,1980,1390,1590,1629,2444,963,2275,2778
"ENSMUSG00000002808.6",113,144,132,43,56,104,94,67,62,78,43,89
"ENSMUSG00000002812.4",1127,1007,971,487,740,702,1081,618,803,632,881,1030
"ENSMUSG00000002814.15",278,500,476,135,138,202,204,253,247,278,270,323
"ENSMUSG00000002820.5",136,218,135,139,169,141,241,259,362,165,375,376
"ENSMUSG00000002825.6",1146,1915,1907,1073,1541,1236,1186,1386,1756,1389,1850,1918
"ENSMUSG00000002831.13",3,0,0,6,0,1,0,1,0,1,0,1
"ENSMUSG00000002833.10",892,1048,783,869,1189,838,1058,1073,1471,727,1114,1789
"ENSMUSG00000002835.8",580,707,619,170,255,172,262,250,327,373,287,263
"ENSMUSG00000002844.8",1938,3113,2484,1559,1891,1955,1746,2001,2350,2255,2161,2793
"ENSMUSG00000002845.14",718,1799,1593,310,472,536,313,544,542,963,316,716
"ENSMUSG00000002846.9",531,781,406,406,342,633,578,890,740,613,894,979
"ENSMUSG00000002847.6",18,58,60,18,10,4,25,7,4,25,4,4
"ENSMUSG00000002870.8",1917,2793,2515,848,1457,1735,1527,1399,1717,1617,1536,1896
"ENSMUSG00000002871.14",453,897,868,245,263,424,304,357,488,641,307,536
"ENSMUSG00000002881.14",650,517,495,395,361,324,876,613,388,397,718,534
"ENSMUSG00000002885.14",115,138,119,21,25,30,26,25,12,111,8,32
"ENSMUSG00000002897.5",27,25,29,14,19,34,41,10,14,29,28,37
"ENSMUSG00000002900.15",1241,1637,1449,394,849,1063,476,541,515,1032,426,651
"ENSMUSG00000002908.16",86,73,56,36,39,85,131,48,46,51,80,75
"ENSMUSG00000002910.11",55,57,57,22,44,48,30,45,49,52,51,76
"ENSMUSG00000002930.6",198,349,233,1338,1221,1221,2026,3140,1874,152,1781,2205
"ENSMUSG00000002944.15",28,38,23,1,4,9,8,17,1,8,1,7
"ENSMUSG00000002948.19",1062,835,563,678,773,622,1638,809,957,581,1421,1172
"ENSMUSG00000002949.15",1308,2268,1897,1086,1355,1130,1273,1414,1901,1432,1481,1966
"ENSMUSG00000002957.11",3177,3348,3076,1568,1753,2103,2442,2487,2396,2594,4167,3635
"ENSMUSG00000002963.17",389,554,522,277,506,429,370,409,563,370,480,485
"ENSMUSG00000002968.8",793,635,460,408,493,604,951,805,1002,534,1108,1297
"ENSMUSG00000002980.14",37,73,41,28,36,33,67,67,90,58,37,117
"ENSMUSG00000002981.10",237,282,176,115,132,195,226,348,306,191,306,397
"ENSMUSG00000002983.17",143,133,127,21,47,47,51,42,31,101,40,72
"ENSMUSG00000002984.17",385,248,215,272,364,177,526,301,336,207,447,460
"ENSMUSG00000002985.16",640,767,222,23,50,48,58,107,141,499,100,125
"ENSMUSG00000002992.17",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002996.17",2678,6293,6039,2371,2561,3786,2310,3601,4379,3657,3136,4703
"ENSMUSG00000002997.15",846,791,648,1256,1310,1445,2459,1928,1327,564,2189,2358
"ENSMUSG00000003031.14",1837,1086,829,931,1201,786,2160,1148,1479,996,2109,1581
"ENSMUSG00000003032.8",1145,1026,993,150,242,225,302,218,191,889,143,253
"ENSMUSG00000003033.15",2686,5720,5525,2208,2357,3652,2315,3100,3561,3480,3305,4433
"ENSMUSG00000003037.16",3946,8277,7897,4036,5424,4616,3975,5527,6670,4579,5715,7685
"ENSMUSG00000003038.15",30522,73588,71854,42944,51062,43636,30431,53489,69729,53289,38555,59044
"ENSMUSG00000003039.9",4726,7245,5937,5353,5941,5319,6926,7722,8587,4686,7635,10372
"ENSMUSG00000003051.13",84,166,183,97,100,100,92,80,109,148,123,160
"ENSMUSG00000003053.17",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003062.12",1036,2373,1575,1589,1994,1785,1865,3356,2322,1428,1539,2517
"ENSMUSG00000003068.15",1610,1012,1005,946,1036,813,2142,1005,1118,771,2273,1545
"ENSMUSG00000003070.6",302,177,93,125,136,104,316,226,238,124,269,179
"ENSMUSG00000003072.15",6072,7402,5408,4386,2466,3848,5740,5436,7917,6411,7732,9850
"ENSMUSG00000003099.11",1130,1672,1182,893,975,1326,1468,1596,1825,1155,1665,2341
"ENSMUSG00000003119.14",596,540,493,271,321,380,514,449,388,323,443,517
"ENSMUSG00000003123.15",52,79,71,44,55,67,73,109,78,64,121,115
"ENSMUSG00000003131.6",4516,6501,4087,3502,3366,4242,6415,6362,5863,3998,6191,8170
"ENSMUSG00000003134.10",405,217,179,618,755,565,1480,932,870,168,2054,1291
"ENSMUSG00000003135.15",308,287,264,359,363,254,567,349,309,218,431,472
"ENSMUSG00000003153.10",70,132,73,12,28,46,24,56,57,67,69,56
"ENSMUSG00000003154.15",485,470,373,173,202,195,448,222,238,278,432,320
"ENSMUSG00000003161.15",3854,6349,5625,3945,5654,4588,4085,5528,6237,5071,4710,6434
"ENSMUSG00000003166.19",1555,1336,1145,562,686,847,1061,737,873,883,1157,923
"ENSMUSG00000003184.15",498,442,344,279,312,361,463,302,409,365,497,521
"ENSMUSG00000003190.12",477,580,657,337,438,300,401,442,628,475,455,555
"ENSMUSG00000003198.9",219,563,517,348,398,561,293,661,578,341,290,544
"ENSMUSG00000003199.16",1963,1413,1374,1409,1701,1055,2768,1529,1931,1046,3082,2599
"ENSMUSG00000003200.9",1708,2518,1838,715,962,1123,960,1421,1436,1671,1297,1873
"ENSMUSG00000003206.6",39,48,58,115,150,79,99,89,121,38,115,149
"ENSMUSG00000003208.8",230,439,346,273,314,285,220,362,555,375,460,639
"ENSMUSG00000003226.6",741,767,662,236,475,791,567,412,305,394,386,445
"ENSMUSG00000003227.4",17,23,12,2,1,4,0,0,1,9,3,2
"ENSMUSG00000003228.8",166,153,115,67,136,136,195,206,117,95,193,109
"ENSMUSG00000003233.11",301,528,407,429,293,584,476,990,973,336,818,1304
"ENSMUSG00000003234.15",839,2234,1777,783,940,1202,692,1178,1289,1095,964,1536
"ENSMUSG00000003235.12",1739,1733,1515,1250,1466,1375,1987,1389,1572,967,2268,1983
"ENSMUSG00000003269.16",1125,812,777,1827,1827,1200,3139,1841,1747,606,3150,2720
"ENSMUSG00000003271.17",20,41,30,37,59,22,53,33,44,28,52,62
"ENSMUSG00000003273.14",56,90,70,70,71,48,116,116,125,82,73,164
"ENSMUSG00000003279.16",135,137,89,101,130,145,174,169,153,85,187,273
"ENSMUSG00000003282.9",238,568,448,52,74,115,104,202,159,341,133,167
"ENSMUSG00000003283.13",33,47,24,0,9,1,9,8,7,17,6,5
"ENSMUSG00000003299.9",2128,3525,3881,2335,3017,2562,2506,3060,4177,2649,3409,4488
"ENSMUSG00000003308.14",1660,1707,1027,733,805,974,1446,1233,1211,1313,1578,1709
"ENSMUSG00000003309.13",826,1698,1724,2239,2853,2736,2015,2957,4494,1050,3684,3683
"ENSMUSG00000003316.14",3085,3710,3066,603,1703,1804,1377,1190,1023,1777,1139,1174
"ENSMUSG00000003341.8",32,75,86,56,60,56,61,122,83,40,74,161
"ENSMUSG00000003344.14",2388,1917,2035,1331,1572,1249,2649,1487,1789,1418,2920,2665
"ENSMUSG00000003345.15",1596,976,732,573,715,514,1711,891,1053,907,1468,1265
"ENSMUSG00000003346.14",1065,469,387,401,515,336,1412,595,706,440,1260,912
"ENSMUSG00000003348.9",237,747,565,99,146,235,86,235,243,406,213,371
"ENSMUSG00000003352.13",1165,809,538,2382,2315,2186,4595,3541,3715,635,5297,5589
"ENSMUSG00000003354.5",34,42,50,37,87,119,47,114,92,18,65,111
"ENSMUSG00000003355.6",1092,1539,1863,201,423,221,266,224,330,1142,248,239
"ENSMUSG00000003360.14",255,277,265,287,395,321,455,289,304,254,355,421
"ENSMUSG00000003363.15",1331,2739,2380,659,938,1115,787,952,1038,1591,1158,1313
"ENSMUSG00000003378.9",139,70,55,85,110,46,234,124,113,49,184,139
"ENSMUSG00000003379.7",5,31,24,1,4,3,0,2,0,10,2,9
"ENSMUSG00000003380.11",1289,1542,1401,897,1303,873,1386,1210,1231,1063,1153,1494
"ENSMUSG00000003382.18",454,516,336,168,178,201,252,206,215,330,307,295
"ENSMUSG00000003402.13",1104,1177,1078,425,518,534,688,553,584,708,566,677
"ENSMUSG00000003410.7",1666,1157,862,5614,7259,6170,10116,7913,6904,895,10695,12153
"ENSMUSG00000003411.10",248,430,348,989,1120,906,1085,1249,1173,225,1352,1796
"ENSMUSG00000003418.11",15,10,8,0,0,3,1,0,1,15,6,0
"ENSMUSG00000003420.8",830,1564,1596,77,292,434,180,207,145,1012,149,224
"ENSMUSG00000003421.13",2602,3608,3455,1816,2259,1783,2059,2236,2679,2604,2944,3222
"ENSMUSG00000003423.15",1634,2419,2003,1687,1736,1419,1764,1892,2574,1482,2304,3001
"ENSMUSG00000003429.11",44047,56724,59900,27203,43047,22323,37059,29059,34636,43543,29945,39687
"ENSMUSG00000003435.9",2214,3696,3152,1330,1440,1998,1671,1649,2180,2240,2325,2492
"ENSMUSG00000003436.11",1,6,0,12,5,8,11,4,10,7,23,20
"ENSMUSG00000003437.14",1001,1112,840,699,857,885,1199,980,1248,698,1133,1173
"ENSMUSG00000003438.17",914,1167,620,488,679,461,876,1141,1281,756,1361,1609
"ENSMUSG00000003444.8",1711,2618,2364,1950,1839,1438,1929,2060,2810,2040,2966,3016
"ENSMUSG00000003452.15",363,447,386,522,453,491,886,699,582,278,790,802
"ENSMUSG00000003458.12",958,1950,1736,812,780,1324,812,1246,1542,1050,1120,1718
"ENSMUSG00000003464.13",2858,6286,6477,3974,3415,4712,3447,4354,7020,4545,5611,6539
"ENSMUSG00000003469.9",28,50,12,3,10,3,39,57,17,11,14,26
"ENSMUSG00000003476.16",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003477.5",0,1,1,2,0,0,0,0,0,1,0,4
"ENSMUSG00000003484.4",1,0,9,0,3,0,0,0,1,4,0,0
"ENSMUSG00000003500.13",489,343,275,304,299,347,641,425,445,260,676,725
"ENSMUSG00000003505.15",0,1,2,0,0,0,0,0,2,0,0,0
"ENSMUSG00000003518.13",1426,2851,1763,655,384,1384,774,2178,1724,2154,1820,2352
"ENSMUSG00000003526.11",106,172,161,66,83,121,71,125,124,116,99,146
"ENSMUSG00000003527.8",600,1071,865,726,774,892,827,1004,1155,718,1101,1462
"ENSMUSG00000003528.14",1213,961,845,466,590,400,870,500,709,651,915,912
"ENSMUSG00000003531.14",1454,1808,1184,1386,825,1248,2225,1904,2417,1306,2360,2668
"ENSMUSG00000003534.17",464,246,180,289,390,413,917,416,464,225,746,567
"ENSMUSG00000003541.6",139,260,292,107,152,92,100,145,164,161,61,179
"ENSMUSG00000003545.3",2,10,5,1,0,6,0,0,1,4,2,4
"ENSMUSG00000003546.9",370,499,308,367,408,392,609,454,561,399,569,669
"ENSMUSG00000003549.9",1696,2694,2786,1810,2028,1599,1667,1966,2789,1985,2461,2883
"ENSMUSG00000003555.7",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003559.7",478,901,1062,666,926,934,592,1009,1111,586,685,1197
"ENSMUSG00000003573.15",194,136,139,171,208,144,322,313,233,119,316,369
"ENSMUSG00000003575.13",563,522,416,302,306,422,600,443,560,444,668,948
"ENSMUSG00000003581.14",308,224,205,71,93,91,137,86,100,129,113,106
"ENSMUSG00000003585.13",128,135,82,46,52,73,92,73,72,106,83,117
"ENSMUSG00000003604.14",399,321,321,238,344,209,377,290,287,220,453,486
"ENSMUSG00000003617.16",34,43,33,0,11,18,12,13,0,46,6,3
"ENSMUSG00000003623.4",859,1759,1405,419,649,898,419,726,718,918,487,704
"ENSMUSG00000003644.17",1137,867,1030,824,1111,726,1422,857,1216,636,1911,1668
"ENSMUSG00000003657.9",18,29,20,72,68,64,28,92,59,21,53,77
"ENSMUSG00000003660.10",1910,3218,2697,1105,2362,2758,1638,1500,1614,1461,1628,2170
"ENSMUSG00000003662.10",887,1462,1302,659,1089,937,772,820,944,891,930,1183
"ENSMUSG00000003665.6",4,5,6,5,2,3,0,0,1,2,1,0
"ENSMUSG00000003680.15",668,895,951,570,841,536,584,664,821,695,630,759
"ENSMUSG00000003721.14",618,980,755,545,655,642,549,823,793,565,603,850
"ENSMUSG00000003731.13",739,539,396,296,371,413,630,510,408,339,635,559
"ENSMUSG00000003746.15",354,481,329,102,200,245,178,105,81,298,119,144
"ENSMUSG00000003752.9",27,55,34,25,27,33,23,29,31,38,37,62
"ENSMUSG00000003762.13",158,193,172,115,131,125,180,156,177,141,204,280
"ENSMUSG00000003778.14",2753,4601,3905,1184,1652,2205,1695,2259,1991,2829,1728,2375
"ENSMUSG00000003779.15",428,1576,1449,181,264,669,157,590,658,654,305,507
"ENSMUSG00000003808.18",2126,3326,2595,895,1027,1075,1431,1173,1385,1854,1694,1449
"ENSMUSG00000003809.14",700,1346,1288,624,836,774,747,909,969,750,830,970
"ENSMUSG00000003810.12",1155,1059,988,538,680,734,1030,825,829,711,1303,1227
"ENSMUSG00000003812.13",292,384,509,506,521,304,444,410,539,304,555,569
"ENSMUSG00000003813.15",1133,2880,3645,1351,1814,1161,663,1536,1945,1845,1600,2476
