"ly13a","ly13b","ly16a","ly16b","ly18a","ly18b","ly20","ly7"
"ENSMUSG00000101812.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101813.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101814.1",1125,481,799,783,831,717,831,850
"ENSMUSG00000101815.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101816.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101817.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101818.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101819.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101820.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101821.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101822.1",0,0,0,1,0,0,1,0
"ENSMUSG00000101823.1",0,1,0,2,0,0,0,0
"ENSMUSG00000101824.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101825.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101826.1",1,1,1,4,2,0,0,1
"ENSMUSG00000101827.1",27,16,20,13,14,8,10,12
"ENSMUSG00000101828.1",8,3,13,18,12,5,14,7
"ENSMUSG00000101829.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101830.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101831.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101832.1",3,2,0,0,0,1,2,2
"ENSMUSG00000101833.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101834.1",1554,1144,848,1425,1779,1539,1354,1664
"ENSMUSG00000101835.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101836.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101837.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101838.6",0,0,0,3,0,0,0,0
"ENSMUSG00000101839.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101840.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101841.1",2826,2021,1761,2414,2990,2159,2276,3131
"ENSMUSG00000101842.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101843.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101844.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101845.1",15,26,4,21,17,11,20,22
"ENSMUSG00000101846.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101847.1",5,7,7,12,11,9,4,11
"ENSMUSG00000101848.1",0,1,0,1,3,0,3,0
"ENSMUSG00000101849.1",3,10,7,34,28,15,10,27
"ENSMUSG00000101850.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101851.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101852.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101853.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101854.2",3,5,4,7,4,0,5,6
"ENSMUSG00000101855.1",8,9,6,4,9,7,15,2
"ENSMUSG00000101856.1",93,103,227,199,209,180,129,208
"ENSMUSG00000101857.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101858.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101859.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101860.2",17,31,26,49,64,30,22,64
"ENSMUSG00000101861.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101862.1",73,71,52,76,112,68,96,105
"ENSMUSG00000101863.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101864.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101865.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101866.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101867.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101868.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101869.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101870.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101871.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101872.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101873.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101874.1",0,0,0,1,0,0,0,0
"ENSMUSG00000101875.1",10805,5675,8143,7812,7640,5771,5814,8618
"ENSMUSG00000101877.1",0,0,0,0,1,0,0,0
"ENSMUSG00000101878.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101879.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101880.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101881.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101882.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101883.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101884.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101885.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101886.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101887.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101888.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101890.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101891.6",0,0,0,0,0,0,0,0
"ENSMUSG00000101892.1",544,467,762,661,731,438,629,716
"ENSMUSG00000101893.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101894.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101895.1",0,0,0,0,0,0,0,2
"ENSMUSG00000101896.1",91,98,75,120,117,75,76,110
"ENSMUSG00000101897.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101898.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101899.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101900.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101901.1",0,0,2,2,4,1,2,1
"ENSMUSG00000101902.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101903.1",0,0,0,0,1,0,0,0
"ENSMUSG00000101904.1",1,0,0,2,0,0,0,1
"ENSMUSG00000101905.1",0,0,0,0,2,0,1,2
"ENSMUSG00000101906.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101907.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101908.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101909.2",0,0,0,0,0,0,0,0
"ENSMUSG00000101910.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101911.1",2,0,1,3,1,3,0,1
"ENSMUSG00000101912.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101913.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101914.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101915.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101916.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101917.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101918.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101919.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101920.6",0,0,0,0,0,0,0,0
"ENSMUSG00000101921.1",0,0,0,2,4,1,3,1
"ENSMUSG00000101922.1",0,0,0,0,4,0,1,0
"ENSMUSG00000101923.1",47,69,27,87,86,60,45,94
"ENSMUSG00000101925.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101926.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101927.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101928.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101929.6",0,0,0,0,0,0,0,0
"ENSMUSG00000101930.1",3,0,0,12,1,1,4,0
"ENSMUSG00000101931.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101932.1",1875,807,1185,1236,1525,1232,1045,1421
"ENSMUSG00000101933.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101934.1",10,10,11,9,11,12,13,7
"ENSMUSG00000101935.1",417,257,333,311,415,264,322,333
"ENSMUSG00000101936.1",0,0,0,1,0,0,0,0
"ENSMUSG00000101937.1",83,85,63,80,84,73,63,89
"ENSMUSG00000101938.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101939.1",69,61,75,90,33,59,18,51
"ENSMUSG00000101940.2",0,0,0,0,0,0,0,0
"ENSMUSG00000101941.1",0,0,0,0,2,0,0,1
"ENSMUSG00000101942.1",2,1,0,1,0,0,0,1
"ENSMUSG00000101943.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101944.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101945.1",1173,741,672,841,1039,736,767,1156
"ENSMUSG00000101947.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101948.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101949.1",6,5,5,10,12,4,8,12
"ENSMUSG00000101950.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101951.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101952.1",0,0,0,0,0,2,2,1
"ENSMUSG00000101953.1",313,270,178,331,434,229,264,343
"ENSMUSG00000101954.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101955.1",1,0,2,0,0,0,1,5
"ENSMUSG00000101956.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101957.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101958.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101959.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101960.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101961.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101962.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101963.1",6,17,6,24,12,5,17,39
"ENSMUSG00000101964.1",0,3,0,0,0,9,0,5
"ENSMUSG00000101965.1",0,0,0,0,0,0,1,0
"ENSMUSG00000101966.1",2,4,3,3,3,3,4,5
"ENSMUSG00000101967.6",0,0,0,0,0,0,0,0
"ENSMUSG00000101968.6",1,0,2,1,2,0,3,0
"ENSMUSG00000101969.2",0,0,0,1,0,0,0,0
"ENSMUSG00000101970.6",284,251,402,299,267,233,215,310
"ENSMUSG00000101971.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101972.1",21,7,19,42,94,12,98,134
"ENSMUSG00000101973.1",2,0,1,1,2,3,2,1
"ENSMUSG00000101974.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101975.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101976.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101977.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101978.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101980.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101981.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101982.6",0,0,0,0,0,0,0,0
"ENSMUSG00000101983.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101984.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101985.1",3,0,6,4,2,2,0,0
"ENSMUSG00000101986.1",0,3,0,0,2,0,1,2
"ENSMUSG00000101987.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101988.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101989.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101990.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101991.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101992.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101993.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101994.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101995.1",0,0,1,1,1,0,5,2
"ENSMUSG00000101996.1",0,0,0,0,0,0,0,0
"ENSMUSG00000101997.1",16,10,6,40,9,19,10,11
"ENSMUSG00000101998.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102000.6",0,0,0,0,1,0,0,0
"ENSMUSG00000102001.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102002.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102003.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102004.3",0,0,0,0,0,0,0,0
"ENSMUSG00000102005.6",0,0,0,0,0,0,0,0
"ENSMUSG00000102006.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102008.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102009.6",0,4,4,6,0,1,0,5
"ENSMUSG00000102010.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102011.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102012.1",1,0,0,0,0,0,0,0
"ENSMUSG00000102013.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102014.1",40,34,23,33,36,29,31,36
"ENSMUSG00000102015.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102016.6",0,0,0,0,0,0,0,0
"ENSMUSG00000102017.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102018.7",36,33,58,32,36,68,76,66
"ENSMUSG00000102019.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102020.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102022.6",0,0,0,0,0,0,0,0
"ENSMUSG00000102023.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102025.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102026.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102027.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102028.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102029.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102030.1",9,4,20,32,6,11,20,25
"ENSMUSG00000102031.6",0,0,0,0,0,0,0,0
"ENSMUSG00000102032.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102033.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102035.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102036.1",0,1,3,2,0,5,1,1
"ENSMUSG00000102037.1",2,4,4,4,3,0,0,1
"ENSMUSG00000102038.1",558,538,605,762,867,483,930,1052
"ENSMUSG00000102039.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102041.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102042.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102043.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102044.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102045.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102046.1",4,1,0,0,0,1,1,0
"ENSMUSG00000102047.1",13,5,12,3,8,9,25,14
"ENSMUSG00000102048.1",985,565,823,649,792,641,738,852
"ENSMUSG00000102049.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102050.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102051.1",2,0,0,0,0,0,0,0
"ENSMUSG00000102052.1",2,5,9,0,2,3,7,18
"ENSMUSG00000102053.1",0,0,4,0,0,3,1,0
"ENSMUSG00000102054.6",0,0,0,0,0,0,0,0
"ENSMUSG00000102055.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102056.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102057.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102058.6",0,0,0,0,0,0,0,0
"ENSMUSG00000102059.1",79,52,94,63,82,60,71,99
"ENSMUSG00000102060.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102061.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102062.1",0,2,0,3,7,2,2,7
"ENSMUSG00000102063.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102064.1",0,0,0,1,0,0,0,0
"ENSMUSG00000102065.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102067.1",7,0,6,1,1,0,4,1
"ENSMUSG00000102068.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102069.1",3,7,1,1,3,1,0,0
"ENSMUSG00000102070.1",742,1106,567,803,357,478,197,673
"ENSMUSG00000102071.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102072.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102073.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102074.1",0,1,0,0,0,0,0,0
"ENSMUSG00000102075.1",2,7,2,9,9,5,10,5
"ENSMUSG00000102076.1",1,0,0,0,0,0,0,0
"ENSMUSG00000102077.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102079.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102080.1",0,0,0,0,0,0,1,0
"ENSMUSG00000102081.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102082.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102083.1",12,3,12,8,6,10,11,5
"ENSMUSG00000102084.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102085.2",0,0,0,0,0,0,0,0
"ENSMUSG00000102087.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102088.6",0,0,0,0,0,0,0,0
"ENSMUSG00000102090.1",3,2,5,7,6,1,1,9
"ENSMUSG00000102091.1",0,0,0,1,0,0,0,0
"ENSMUSG00000102092.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102093.1",7,7,3,4,4,5,4,3
"ENSMUSG00000102095.1",0,0,0,1,0,0,0,2
"ENSMUSG00000102096.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102097.1",0,1,0,0,0,0,0,0
"ENSMUSG00000102098.1",1,0,1,3,5,0,3,0
"ENSMUSG00000102099.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102100.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102101.1",26,23,19,21,26,10,32,40
"ENSMUSG00000102102.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102103.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102104.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102105.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102106.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102107.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102108.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102109.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102110.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102111.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102112.1",126,42,57,56,73,55,55,72
"ENSMUSG00000102113.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102114.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102115.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102116.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102117.1",13810,6681,11846,9774,11680,7677,12220,16469
"ENSMUSG00000102118.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102119.6",0,0,0,0,0,0,0,0
"ENSMUSG00000102120.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102121.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102122.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102123.1",2,0,3,1,19,0,3,9
"ENSMUSG00000102124.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102125.6",0,0,0,0,0,0,0,0
"ENSMUSG00000102126.1",1,5,0,2,0,0,1,3
"ENSMUSG00000102127.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102128.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102129.6",0,0,0,0,0,0,0,0
"ENSMUSG00000102131.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102132.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102133.1",2,1,0,1,2,1,1,2
"ENSMUSG00000102134.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102135.1",8731,4954,10634,6290,6522,5678,6174,7566
"ENSMUSG00000102136.1",1,3,0,0,2,0,2,0
"ENSMUSG00000102137.1",4,6,12,4,3,6,5,2
"ENSMUSG00000102138.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102139.1",0,0,1,2,0,0,0,0
"ENSMUSG00000102140.1",0,0,2,0,0,0,4,0
"ENSMUSG00000102141.1",0,0,0,1,1,0,0,0
"ENSMUSG00000102142.1",6,4,1,2,0,0,1,1
"ENSMUSG00000102143.1",0,1,2,4,0,0,1,8
"ENSMUSG00000102144.1",0,0,0,0,0,0,5,0
"ENSMUSG00000102145.1",1003,690,828,522,959,587,761,939
"ENSMUSG00000102146.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102147.1",0,3,1,0,0,0,0,0
"ENSMUSG00000102148.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102149.1",88,59,39,72,83,69,72,71
"ENSMUSG00000102150.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102151.1",1,0,0,1,0,1,1,0
"ENSMUSG00000102152.1",7,0,6,4,3,7,14,1
"ENSMUSG00000102153.1",6,6,0,4,5,10,2,2
"ENSMUSG00000102154.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102155.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102156.1",0,0,2,0,1,0,0,0
"ENSMUSG00000102157.1",0,3,5,0,0,0,2,0
"ENSMUSG00000102158.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102159.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102160.1",0,5,0,0,1,0,0,0
"ENSMUSG00000102161.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102162.1",2194,1076,1743,1506,1423,1119,1096,2057
"ENSMUSG00000102163.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102164.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102165.5",0,0,0,0,0,0,0,0
"ENSMUSG00000102166.1",34,22,16,55,45,9,30,22
"ENSMUSG00000102167.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102168.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102169.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102170.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102171.1",1,6,9,4,2,0,2,9
"ENSMUSG00000102172.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102173.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102174.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102175.1",6,20,13,21,23,14,14,27
"ENSMUSG00000102176.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102177.5",0,0,0,0,0,0,0,0
"ENSMUSG00000102178.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102179.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102180.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102181.1",6,0,0,0,0,0,0,0
"ENSMUSG00000102182.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102183.1",0,0,0,1,0,0,1,0
"ENSMUSG00000102184.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102185.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102186.1",1,1,0,2,1,0,0,0
"ENSMUSG00000102187.1",0,0,0,0,0,0,0,1
"ENSMUSG00000102188.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102189.1",3,1,5,1,0,4,2,3
"ENSMUSG00000102190.1",425,363,237,490,445,358,386,503
"ENSMUSG00000102191.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102192.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102193.1",3694,1885,2829,2489,2651,2333,1764,3036
"ENSMUSG00000102194.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102195.5",0,0,0,0,0,0,0,0
"ENSMUSG00000102196.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102197.1",0,0,0,0,1,0,0,0
"ENSMUSG00000102198.1",0,0,3,0,0,0,1,0
"ENSMUSG00000102199.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102200.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102201.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102202.1",8,1,4,7,4,4,2,16
"ENSMUSG00000102203.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102204.1",1,0,0,0,0,0,0,0
"ENSMUSG00000102205.1",17,10,29,12,18,14,13,28
"ENSMUSG00000102206.5",0,0,0,0,0,0,1,0
"ENSMUSG00000102207.1",0,7,2,5,0,0,5,2
"ENSMUSG00000102208.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102209.5",0,0,0,0,0,0,0,0
"ENSMUSG00000102211.1",0,0,1,2,1,0,1,1
"ENSMUSG00000102212.1",0,26,0,1,0,11,8,5
"ENSMUSG00000102213.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102214.1",0,0,1,0,0,0,0,0
"ENSMUSG00000102215.1",7,2,0,11,9,19,1,3
"ENSMUSG00000102216.1",1,1,1,0,0,0,0,0
"ENSMUSG00000102217.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102218.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102219.1",4,2,2,2,2,0,0,1
"ENSMUSG00000102220.1",680,346,582,444,454,401,443,552
"ENSMUSG00000102221.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102222.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102223.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102224.5",0,0,0,0,0,0,0,12
"ENSMUSG00000102225.1",0,0,2,0,0,6,0,1
"ENSMUSG00000102227.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102229.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102230.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102231.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102232.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102233.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102234.1",0,0,0,0,0,0,1,0
"ENSMUSG00000102235.1",0,0,0,0,0,1,0,0
"ENSMUSG00000102236.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102237.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102238.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102239.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102240.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102241.1",0,6,3,3,1,1,1,3
"ENSMUSG00000102242.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102243.1",1,1,3,0,0,1,0,0
"ENSMUSG00000102244.1",2,1,2,1,0,4,1,1
"ENSMUSG00000102245.1",514,184,436,289,374,299,364,440
"ENSMUSG00000102246.1",4,2,4,9,12,3,7,1
"ENSMUSG00000102247.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102248.1",0,1,1,0,1,0,0,0
"ENSMUSG00000102249.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102250.1",6,5,0,0,5,0,0,4
"ENSMUSG00000102251.5",0,0,0,0,0,0,0,0
"ENSMUSG00000102252.5",12823,9867,7899,14340,12778,11086,10621,17544
"ENSMUSG00000102253.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102254.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102255.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102256.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102257.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102258.1",0,0,0,2,0,2,0,4
"ENSMUSG00000102259.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102260.1",2,0,0,0,0,0,0,0
"ENSMUSG00000102261.1",0,2,0,0,0,0,0,0
"ENSMUSG00000102262.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102263.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102264.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102265.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102266.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102267.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102268.1",18,21,21,16,28,17,8,26
"ENSMUSG00000102269.1",22,47,10,19,28,14,27,53
"ENSMUSG00000102270.1",11,6,2,12,20,1,9,37
"ENSMUSG00000102271.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102272.1",3,7,2,5,8,5,0,3
"ENSMUSG00000102273.5",0,0,0,0,0,0,0,0
"ENSMUSG00000102274.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102275.1",7,6,9,6,7,7,4,17
"ENSMUSG00000102276.1",0,0,0,0,0,0,0,0
"ENSMUSG00000102277.1",9,8,3,4,1,1,0,0
"ENSMUSG00000102278.1",3,1,0,0,1,0,0,0
