"ly13a","ly13b","ly16a","ly16b","ly18a","ly18b","ly20","ly7"
"ENSMUSG00000002265.16",6307,10267,4281,3929,2324,1645,2920,3618
"ENSMUSG00000002266.16",300,477,370,220,120,132,184,274
"ENSMUSG00000002274.12",26,12,59,23,32,24,31,31
"ENSMUSG00000002279.18",365,311,264,350,502,240,365,393
"ENSMUSG00000002280.10",534,464,450,590,788,459,634,1045
"ENSMUSG00000002289.15",59,73,57,94,99,51,66,111
"ENSMUSG00000002297.15",421,341,814,434,503,323,563,468
"ENSMUSG00000002307.15",788,830,830,918,1057,671,1100,1152
"ENSMUSG00000002308.15",484,399,379,475,553,314,398,547
"ENSMUSG00000002319.15",1203,1689,937,798,1150,643,1143,1222
"ENSMUSG00000002320.15",98,261,132,252,247,105,172,277
"ENSMUSG00000002324.7",37,24,268,197,197,172,91,334
"ENSMUSG00000002325.14",221,193,166,253,247,132,204,278
"ENSMUSG00000002326.5",910,723,617,795,830,551,785,1047
"ENSMUSG00000002329.6",2787,2566,2842,3079,3418,2581,3215,4289
"ENSMUSG00000002332.15",2251,1810,1390,1978,2620,1905,2055,2838
"ENSMUSG00000002341.8",470,1475,755,1502,1060,436,1035,1427
"ENSMUSG00000002342.17",235,292,313,234,290,150,276,343
